Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,31,2020-08-01,64214,58279,694,11512,1986,2501,759,2734,782,961,684,12817,2989,8296,7603,,,,,,,,,,,,,,,
United States,2020,32,2020-08-08,63703,57851,787,11531,1798,2435,781,2593,730,912,723,12812,3036,7856,7173,,,,,,,,,,,,,,,
United States,2020,33,2020-08-15,63633,57782,739,11704,1894,2528,757,2656,798,969,702,12848,2947,7243,6550,,,,,,,,,,,,,,,
United States,2020,34,2020-08-22,62566,56637,738,11518,1934,2565,698,2642,783,969,692,12763,2932,6367,5740,,,,,,,,,,,,,,,
United States,2020,35,2020-08-29,61078,55344,726,11576,1879,2430,680,2560,746,985,681,12469,2991,5729,5134,,,,,,,,,,,,,,,
United States,2020,36,2020-09-05,60231,54271,705,11373,1835,2506,737,2551,801,928,635,12500,2864,5005,4422,,,,,,,,,,,,,,,
United States,2020,37,2020-09-12,59643,53971,697,11465,1890,2330,682,2560,747,928,677,12348,3045,4617,4076,,,,,,,,,,,,,,,
United States,2020,38,2020-09-19,59704,54147,751,11624,1856,2372,720,2518,781,922,697,12676,2949,4260,3752,,,,,,,,,,,,,,,
United States,2020,39,2020-09-26,60604,55086,768,11866,1840,2500,725,2670,789,925,653,12706,3077,4287,3779,,,,,,,,,,,,,,,
United States,2020,40,2020-10-03,59773,54130,725,11423,1892,2413,766,2577,718,945,738,12634,2884,4226,3682,,,,,,,,,,,,,,,
United States,2020,41,2020-10-10,61754,55974,759,11829,1895,2515,725,2615,800,960,712,12791,3123,4807,4265,,,,,,,,,,,,,,,
United States,2020,42,2020-10-17,60610,55235,777,11316,1834,2533,727,2594,816,1026,715,12559,3036,5176,4577,,,,,,,,,,,,,,,
United States,2020,43,2020-10-24,62146,56873,732,11674,1827,2564,769,2697,795,941,706,12851,3080,5972,5308,,,,,,,,,,,,,,,
United States,2020,44,2020-10-31,63408,58102,702,11523,1939,2460,798,2571,829,925,663,13152,3101,7002,6236,,,,,,,,,,,,,,,
United States,2020,45,2020-11-07,67499,61732,770,11796,1959,2659,806,2896,817,1028,776,13633,3159,8731,7820,,,,,,,,,,,,,,,
United States,2020,46,2020-11-14,68744,63215,794,11731,2022,2732,853,2748,858,1026,714,13428,3170,10610,9554,,,,,,,,,,,,,,,
United States,2020,47,2020-11-21,71597,66243,824,11620,2117,2654,838,2816,861,1030,790,13618,3214,13317,12036,,,,,,,,,,,,,,,
United States,2020,48,2020-11-28,73194,67906,777,11386,2142,2770,812,2751,863,1041,820,13523,3128,15566,14087,,,,,,,,,,,,,,,
United States,2020,49,2020-12-05,77307,71953,851,11345,2206,2842,918,2831,905,1033,838,14273,3308,18494,16803,,,,,,,,,,,,,,,
United States,2020,50,2020-12-12,81913,76462,835,11895,2290,2934,955,3032,978,1088,898,14532,3478,20854,19002,,,,,,,,,,,,,,,
United States,2020,51,2020-12-19,82787,77513,839,11775,2344,3063,950,2944,922,1021,891,14721,3463,22236,20345,,,,,,,,,,,,,,,
United States,2020,52,2020-12-26,84119,78630,859,11665,2321,2980,979,2850,920,1125,969,14784,3381,23257,21253,,,,,,,,,,,,,,,
United States,2020,53,2021-01-02,86464,80802,891,11608,2421,3055,1019,3043,903,1105,998,15140,3490,24640,22547,,,,,,,,,,,,,,,
United States,2021,1,2021-01-09,85551,80245,848,11174,2321,2915,1028,2912,931,1141,1192,14789,3322,25458,23444,,,,,,,,,,,,,,,
United States,2021,2,2021-01-16,85252,80040,809,11629,2381,2914,1004,2855,938,1216,1266,14582,3457,24952,22845,,,,,,,,,,,,,,,
United States,2021,3,2021-01-23,81537,76502,816,11324,2138,2856,926,2751,889,1163,1258,14173,3370,22928,20967,,,,,,,,,,,,,,,
United States,2021,4,2021-01-30,77918,72982,775,11535,2117,2618,908,2741,948,1150,1328,13942,3250,19899,18056,,,,,,,,,,,,,,,
United States,2021,5,2021-02-06,73903,68818,795,11242,2007,2478,830,2777,896,1101,1502,13859,3209,16349,14667,,,,,,,,,,,,,,,
United States,2021,6,2021-02-13,68727,63973,799,11120,1980,2301,834,2544,868,1076,1541,13319,3248,12862,11438,,,,,,,,,,,,,,,
United States,2021,7,2021-02-20,66899,62247,793,11014,2177,2416,845,2594,828,1031,1666,13567,3065,10329,9090,,,,,,,,,,,,,,,
United States,2021,8,2021-02-27,64157,59458,842,11212,1888,2393,771,2525,852,1033,1775,12923,3098,8237,7168,,,,,,,,,,,,,,,
United States,2021,9,2021-03-06,60803,56286,754,10913,1853,2209,800,2444,781,1025,1940,12505,3042,6442,5545,,,,,,,,,,,,,,,
United States,2021,10,2021-03-13,58954,54692,810,10922,1781,2181,737,2499,818,964,2068,12345,2969,5473,4610,,,,,,,,,,,,,,,
United States,2021,11,2021-03-20,57398,53116,730,10829,1830,2088,721,2414,806,928,2332,11847,2925,4719,3969,,,,,,,,,,,,,,,
United States,2021,12,2021-03-27,57543,53540,685,10856,1750,2123,651,2524,803,962,2594,12110,2972,4284,3634,,,,,,,,,,,,,,,
United States,2021,13,2021-04-03,55404,51618,657,10561,1779,1955,648,2362,802,953,2833,11470,2794,4003,3377,,,,,,,,,,,,,,,
United States,2021,14,2021-04-10,56951,53107,659,10954,1690,2053,687,2430,730,972,3204,11746,2881,4068,3466,,,,,,,,,,,,,,,
United States,2021,15,2021-04-17,54496,51220,621,10648,1571,1855,631,2287,716,890,3220,11329,2894,4148,3546,,,,,,,,,,,,,,,
United States,2021,16,2021-04-24,54471,51381,658,10667,1623,1889,625,2343,796,902,3308,11250,2818,4218,3640,,,,,,,,,,,,,,,
United States,2021,17,2021-05-01,51172,48616,600,10223,1510,1904,575,2269,725,854,3230,10526,2567,3629,3177,,,,,,,,,,,,,,,
United States,2021,18,2021-05-08,44028,42126,494,8901,1251,1717,526,1983,634,682,3154,9117,2281,2976,2591,,,,,,,,,,,,,,,
United States,2021,19,2021-05-15,32146,31142,337,6588,899,1299,366,1531,485,557,2433,6650,1690,2054,1821,,,,,,,,,,,,,,,
Alabama,2020,1,2020-01-04,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,285,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,6,2020-02-08,1120,1029,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
Alabama,2020,7,2020-02-15,1095,1021,17,193,24,50,35,74,23,18,26,255,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,2020-02-29,1164,1093,21,212,28,62,30,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,2020-03-28,1073,990,15,188,23,67,26,75,24,15,22,244,69,23,20,,,,,,,,,,,,,,,
Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,258,68,49,45,,,,,,,,,,,,,,,
Alabama,2020,15,2020-04-11,1135,1056,25,166,31,63,18,60,20,17,28,267,64,81,77,,,,,,,,,,,,,,,
Alabama,2020,16,2020-04-18,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
Alabama,2020,17,2020-04-25,1139,1038,20,200,28,55,24,53,12,17,14,265,63,85,78,,,,,,,,,,,,,,,
Alabama,2020,18,2020-05-02,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75,,,,,,,,,,,,,,,
Alabama,2020,19,2020-05-09,1171,1084,17,201,28,45,12,58,18,15,22,305,53,116,105,,,,,,,,,,,,,,,
Alabama,2020,20,2020-05-16,1148,1050,19,203,29,47,15,71,17,21,23,259,49,95,89,,,,,,,,,,,,,,,
Alabama,2020,21,2020-05-23,1153,1055,22,192,22,62,18,53,15,21,25,282,55,81,78,,,,,,,,,,,,,,,
Alabama,2020,22,2020-05-30,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99,,,,,,,,,,,,,,,
Alabama,2020,23,2020-06-06,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86,,,,,,,,,,,,,,,
Alabama,2020,24,2020-06-13,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
Alabama,2020,25,2020-06-20,1090,1007,29,198,22,48,12,62,16,17,25,256,55,88,81,,,,,,,,,,,,,,,
Alabama,2020,26,2020-06-27,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95,,,,,,,,,,,,,,,
Alabama,2020,27,2020-07-04,1201,1112,14,221,30,59,13,60,,18,25,298,49,122,116,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2020,28,2020-07-11,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122,,,,,,,,,,,,,,,
Alabama,2020,29,2020-07-18,1289,1201,23,203,24,68,22,71,17,19,25,275,66,191,171,,,,,,,,,,,,,,,
Alabama,2020,30,2020-07-25,1333,1257,21,212,28,65,17,69,10,20,23,285,78,250,240,,,,,,,,,,,,,,,
Alabama,2020,31,2020-08-01,1364,1269,15,198,23,56,25,74,21,20,15,311,71,262,238,,,,,,,,,,,,,,,
Alabama,2020,32,2020-08-08,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253,,,,,,,,,,,,,,,
Alabama,2020,33,2020-08-15,1305,1207,,166,26,60,20,68,21,15,24,292,74,228,213,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2020,34,2020-08-22,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197,,,,,,,,,,,,,,,
Alabama,2020,35,2020-08-29,1216,1129,19,191,24,54,17,62,19,20,22,250,56,185,175,,,,,,,,,,,,,,,
Alabama,2020,36,2020-09-05,1216,1132,22,212,24,61,14,65,12,15,12,258,60,155,141,,,,,,,,,,,,,,,
Alabama,2020,37,2020-09-12,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130,,,,,,,,,,,,,,,
Alabama,2020,38,2020-09-19,1200,1132,18,226,20,56,17,69,22,20,15,257,62,138,134,,,,,,,,,,,,,,,
Alabama,2020,39,2020-09-26,1183,1109,21,204,35,65,20,62,13,15,22,261,58,105,100,,,,,,,,,,,,,,,
Alabama,2020,40,2020-10-03,1103,1010,14,181,28,47,21,55,11,20,10,260,47,110,99,,,,,,,,,,,,,,,
Alabama,2020,41,2020-10-10,1204,1120,15,189,28,58,18,63,20,21,20,303,62,136,126,,,,,,,,,,,,,,,
Alabama,2020,42,2020-10-17,1190,1114,20,198,28,60,12,59,19,21,18,260,69,125,111,,,,,,,,,,,,,,,
Alabama,2020,43,2020-10-24,1142,1056,18,200,16,54,20,54,16,19,15,277,47,119,112,,,,,,,,,,,,,,,
Alabama,2020,44,2020-10-31,1169,1093,22,187,23,62,23,47,23,12,21,277,60,131,119,,,,,,,,,,,,,,,
Alabama,2020,45,2020-11-07,1277,1183,15,215,27,54,14,54,19,23,21,297,65,150,140,,,,,,,,,,,,,,,
Alabama,2020,46,2020-11-14,1269,1187,16,209,27,64,13,62,19,24,22,289,58,176,165,,,,,,,,,,,,,,,
Alabama,2020,47,2020-11-21,1275,1176,11,195,29,69,17,58,13,27,22,267,61,168,155,,,,,,,,,,,,,,,
Alabama,2020,48,2020-11-28,1326,1238,24,206,26,57,17,64,14,27,26,290,54,202,186,,,,,,,,,,,,,,,
Alabama,2020,49,2020-12-05,1355,1260,30,177,32,63,14,66,28,14,24,300,66,250,238,,,,,,,,,,,,,,,
Alabama,2020,50,2020-12-12,1598,1510,21,228,47,83,21,56,24,24,26,301,70,374,358,,,,,,,,,,,,,,,
Alabama,2020,51,2020-12-19,1584,1485,13,196,31,71,31,69,17,26,30,309,70,390,363,,,,,,,,,,,,,,,
Alabama,2020,52,2020-12-26,1626,1555,23,195,46,74,17,66,24,25,27,329,60,451,422,,,,,,,,,,,,,,,
Alabama,2020,53,2021-01-02,1801,1701,23,200,35,79,21,69,26,27,38,326,77,507,479,,,,,,,,,,,,,,,
Alabama,2021,1,2021-01-09,1796,1698,21,224,35,70,20,79,27,24,37,332,61,540,521,,,,,,,,,,,,,,,
Alabama,2021,2,2021-01-16,1812,1730,16,212,45,66,24,63,22,25,37,342,65,586,562,,,,,,,,,,,,,,,
Alabama,2021,3,2021-01-23,1772,1677,16,193,38,63,19,63,26,33,32,335,63,571,540,,,,,,,,,,,,,,,
Alabama,2021,4,2021-01-30,1626,1555,20,205,35,64,20,73,24,22,31,310,62,483,454,,,,,,,,,,,,,,,
Alabama,2021,5,2021-02-06,1492,1402,22,212,24,66,23,68,20,22,34,297,62,342,329,,,,,,,,,,,,,,,
Alabama,2021,6,2021-02-13,1409,1323,20,200,29,66,13,66,25,20,23,321,77,260,244,,,,,,,,,,,,,,,
Alabama,2021,7,2021-02-20,1318,1250,30,195,35,62,20,43,27,18,33,308,61,210,190,,,,,,,,,,,,,,,
Alabama,2021,8,2021-02-27,1294,1217,21,181,20,57,22,58,17,14,34,319,74,169,151,,,,,,,,,,,,,,,
Alabama,2021,9,2021-03-06,1137,1047,18,200,20,50,22,42,28,25,33,250,57,106,90,,,,,,,,,,,,,,,
Alabama,2021,10,2021-03-13,1162,1083,12,176,24,44,22,62,17,25,40,262,52,101,90,,,,,,,,,,,,,,,
Alabama,2021,11,2021-03-20,1035,974,26,164,23,59,18,49,16,22,40,223,49,77,69,,,,,,,,,,,,,,,
Alabama,2021,12,2021-03-27,1160,1070,27,155,33,45,22,58,24,18,49,289,92,74,64,,,,,,,,,,,,,,,
Alabama,2021,13,2021-04-03,1074,994,17,185,25,41,19,68,15,18,44,225,61,66,56,,,,,,,,,,,,,,,
Alabama,2021,14,2021-04-10,1153,1077,20,200,25,46,18,52,26,23,52,273,70,52,48,,,,,,,,,,,,,,,
Alabama,2021,15,2021-04-17,1099,1031,24,224,37,48,16,53,19,16,41,246,52,41,35,,,,,,,,,,,,,,,
Alabama,2021,16,2021-04-24,1035,968,26,196,30,44,23,49,19,13,37,261,51,43,36,,,,,,,,,,,,,,,
Alabama,2021,17,2021-05-01,1059,1008,23,203,21,47,18,58,23,24,36,269,51,40,35,,,,,,,,,,,,,,,
Alabama,2021,18,2021-05-08,899,853,14,174,19,34,10,62,24,19,32,207,46,56,53,,,,,,,,,,,,,,,
Alabama,2021,19,2021-05-15,611,585,14,108,11,34,10,41,,21,13,154,34,32,30,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alaska,2020,1,2020-01-04,89,71,,16,,,0,,0,,0,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,2,2020-01-11,105,93,,22,,,0,,,,0,24,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,3,2020-01-18,99,83,,21,,,0,,,,0,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,4,2020-01-25,97,82,,21,,,0,,0,,,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,5,2020-02-01,85,74,,17,,,,,,0,,20,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,6,2020-02-08,92,75,0,15,,,,,,,,22,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,7,2020-02-15,89,74,,20,,,0,,,,0,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,8,2020-02-22,83,64,,16,,,,,,0,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2020,9,2020-02-29,84,76,,18,,0,,,,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,10,2020-03-07,79,68,,20,0,,,,,,0,15,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,11,2020-03-14,92,80,,20,,0,,,,0,,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,12,2020-03-21,69,55,0,,,,,,,,,10,,0,0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,13,2020-03-28,85,74,,16,,,,,,,0,15,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,14,2020-04-04,98,84,,21,,,,,,0,0,14,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,15,2020-04-11,84,71,,15,,,,,,,,20,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,16,2020-04-18,80,71,0,17,,,,,0,,0,13,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,17,2020-04-25,61,55,,12,0,,,,,,0,12,0,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Alaska,2020,18,2020-05-02,87,78,,17,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,19,2020-05-09,89,77,,20,,,,,,0,0,13,,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),
Alaska,2020,20,2020-05-16,83,68,0,18,,0,,,0,,,20,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,21,2020-05-23,82,68,0,19,,,0,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2020,22,2020-05-30,97,82,,23,,,0,,0,,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
